coverage_pct,n_retained,n_referred,pct_referred,auroc,auprc,sensitivity,specificity,balanced_accuracy,error_rate
100,1091,0,0.0,0.7955234055446145,0.4509316257273821,0.3521739130434783,0.9140534262485482,0.6331136696460132,0.20439963336388633
90,982,109,10.0,0.7963815858129779,0.42353728198377744,0.3016759776536313,0.933997509339975,0.6178367434968032,0.18126272912423624
80,873,218,20.0,0.7964184108920951,0.39704640257783697,0.24060150375939848,0.9513513513513514,0.5959764275553749,0.15693012600229095
70,764,327,30.0,0.7757110677783755,0.3426230992540989,0.26136363636363635,0.9644970414201184,0.6129303388918774,0.11649214659685864
60,655,436,40.0,0.7429942761745767,0.268034944677045,0.21428571428571427,0.9749582637729549,0.5946219890293346,0.0900763358778626
50,546,545,50.0,0.7644530306689206,0.2739325545070494,0.1951219512195122,0.9841584158415841,0.5896401835305481,0.07509157509157509
40,436,655,60.0,0.7845684803001876,0.2804698487719439,0.2692307692307692,0.9926829268292683,0.6309568480300187,0.05045871559633028
30,327,764,70.0,0.8483974358974359,0.32667866328252293,0.26666666666666666,0.9903846153846154,0.628525641025641,0.04281345565749235
20,218,873,80.0,0.9088050314465409,0.4822150072150072,0.6666666666666666,0.9952830188679245,0.8309748427672956,0.013761467889908258
